chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	95280000	95520000	1	95280000	95520000	255,255,0	1.5329	0.065658	0.090099	0.84028	0.85417
1	189400000	190400000	1	189400000	190400000	255,255,0	1.1772	0.07461	0.081018	0.5992	0.8772
1	204120000	204360000	1	204120000	204360000	255,255,0	1.4478	0.063872	0.091667	0.85417	0.85417
1	215830000	216910000	1	215830000	216910000	255,255,0	1.2831	0.078257	0.07715	0.92353	0.66152
1	93730000	94350000	1	93730000	94350000	255,255,0	1.1876	0.087402	0.067978	0.50572	0.90947
1	225140000	225580000	1	225140000	225580000	255,255,0	1.1654	0.053607	0.10173	0.50207	0.90702
1	153480000	153630000	1	153480000	153630000	255,255,0	0.98626	0.094148	0.061172	0.625	0.58929
1	46050000	46720000	1	46050000	46720000	255,255,0	1.6389	0.077833	0.077246	0.88146	0.93494
1	93310000	93480000	1	93310000	93480000	255,255,0	1.115	0.088316	0.066327	0.70833	0.65278
1	27370000	27640000	1	27370000	27640000	255,255,0	1.0809	0.078382	0.075983	0.67215	0.70409
1	33750000	33940000	1	33750000	33940000	255,255,0	1.1315	0.046403	0.10774	0.61111	0.76667
1	200840000	201390000	1	200840000	201390000	255,255,0	0.99115	0.079618	0.074015	0.55952	0.76852
1	240160000	240880000	1	240160000	240880000	255,255,0	1.7355	0.089484	0.064118	0.90972	0.93441
1	214510000	214800000	1	214510000	214800000	255,255,0	1.6734	0.083348	0.069724	0.87143	0.9
1	170930000	171280000	1	170930000	171280000	255,255,0	1.202	0.065669	0.087293	0.8268	0.6634
1	201490000	201800000	1	201490000	201800000	255,255,0	1.4454	0.079501	0.073383	0.87917	0.82083
1	90530000	91020000	1	90530000	91020000	255,255,0	1.1496	0.10311	0.049314	0.82583	0.63167
1	245260000	246170000	1	245260000	246170000	255,255,0	1.2068	0.074073	0.077323	0.89807	0.60242
1	240890000	241670000	1	240890000	241670000	255,255,0	1.2226	0.081798	0.069428	0.75608	0.78107
1	212640000	212790000	1	212640000	212790000	255,255,0	0.89827	0.099039	0.05181	0.625	0.51786
1	53720000	54300000	1	53720000	54300000	255,255,0	1.2679	0.08797	0.062677	0.76576	0.8799
1	152020000	152170000	1	152020000	152170000	255,255,0	0.89333	0.11236	0.037003	0.625	0.51786
1	44540000	45150000	1	44540000	45150000	255,255,0	1.506	0.071117	0.078034	0.82043	0.90645
1	241680000	242050000	1	241680000	242050000	255,255,0	1.3863	0.059967	0.08894	0.87427	0.7924
1	230760000	231380000	1	230760000	231380000	255,255,0	1.336	0.072006	0.076178	0.83039	0.83663
1	223940000	224120000	1	223940000	224120000	255,255,0	0.81849	0.10973	0.03843	0.59259	0.51852
1	78410000	78590000	1	78410000	78590000	255,255,0	1.1705	0.053459	0.094115	0.64198	0.74074
1	200550000	200830000	1	200550000	200830000	255,255,0	1.5854	0.087696	0.059802	0.88265	0.88265
1	229390000	229640000	1	229390000	229640000	255,255,0	1.4519	0.06654	0.080772	0.86538	0.82692
1	180210000	180460000	1	180210000	180460000	255,255,0	1.5663	0.080038	0.066765	0.79487	0.875
1	153470000	153750000	1	153470000	153750000	255,255,0	0.95401	0.085668	0.061078	0.72959	0.52551
1	206640000	206860000	1	206640000	206860000	255,255,0	0.90269	0.10174	0.044929	0.69267	0.51513
1	19660000	19990000	1	19660000	19990000	255,255,0	1.6954	0.076901	0.069654	0.88603	0.89338
1	67990000	68230000	1	67990000	68230000	255,255,0	1.2114	0.071222	0.075279	0.84028	0.70139
1	169370000	169800000	1	169370000	169800000	255,255,0	1.049	0.073508	0.072543	0.60354	0.71565
1	79960000	80660000	1	79960000	80660000	255,255,0	1.2457	0.074758	0.071247	0.69388	0.79673
1	41480000	41950000	1	41480000	41950000	255,255,0	0.77577	0.056568	0.088857	0.59601	0.5163
1	179360000	179800000	1	179360000	179800000	255,255,0	1.0935	0.063092	0.08197	0.7042	0.65693
1	53280000	53700000	1	53280000	53700000	255,255,0	1.1535	0.064386	0.080439	0.57596	0.90023
1	39310000	39540000	1	39310000	39540000	255,255,0	1.3403	0.077179	0.067468	0.82576	0.76515
1	12350000	12720000	1	12350000	12720000	255,255,0	1.7811	0.075775	0.068808	0.88012	0.93275
1	218510000	218700000	1	218510000	218700000	255,255,0	0.96887	0.11966	0.024546	0.71927	0.50781
1	16110000	16340000	1	16110000	16340000	255,255,0	1.4552	0.075389	0.06874	0.84091	0.81061
1	22420000	22990000	1	22420000	22990000	255,255,0	1.2815	0.061253	0.082865	0.86823	0.67857
1	32100000	32540000	1	32100000	32540000	255,255,0	1.2225	0.079369	0.064706	0.69215	0.8657
1	1850000	2100000	1	1850000	2100000	255,255,0	1.3391	0.075886	0.067861	0.85256	0.72436
1	225640000	226180000	1	225640000	226180000	255,255,0	1.8324	0.061961	0.081754	0.95199	0.90261
1	23000000	23250000	1	23000000	23250000	255,255,0	1.5731	0.071565	0.07209	0.86538	0.86538
1	89420000	89920000	1	89420000	89920000	255,255,0	1.4542	0.067522	0.075979	0.8896	0.8736
1	46480000	46710000	1	46480000	46710000	255,255,0	1.2737	0.053449	0.089704	0.73485	0.84091
1	228310000	228720000	1	228310000	228720000	255,255,0	1.7214	0.060189	0.082955	0.93571	0.92619
1	182830000	183600000	1	182830000	183600000	255,255,0	1.428	0.061001	0.082143	0.96289	0.51619
1	66710000	66930000	1	66710000	66930000	255,255,0	1.322	0.085125	0.05777	0.82645	0.77686
1	182490000	182800000	1	182490000	182800000	255,255,0	1.4441	0.067478	0.074894	0.62083	0.9125
1	28150000	28560000	1	28150000	28560000	255,255,0	1.0282	0.072766	0.069385	0.63095	0.73095
1	161740000	162010000	1	161740000	162010000	255,255,0	1.6841	0.095246	0.046779	0.88462	0.88462
1	231840000	232770000	1	231840000	232770000	255,255,0	1.2687	0.075025	0.066987	0.89778	0.70167
1	16390000	16560000	1	16390000	16560000	255,255,0	1.0384	0.084399	0.057515	0.65278	0.68056
1	197900000	198680000	1	197900000	198680000	255,255,0	1.1227	0.075651	0.066146	0.53975	0.88314
1	51800000	52270000	1	51800000	52270000	255,255,0	1.0857	0.05833	0.083332	0.83877	0.64674
1	247060000	247530000	1	247060000	247530000	255,255,0	1.2933	0.078448	0.063042	0.8279	0.77717
1	212220000	212590000	1	212220000	212590000	255,255,0	1.43	0.056139	0.085232	0.9152	0.76901
1	94080000	94320000	1	94080000	94320000	255,255,0	1.5067	0.053361	0.08753	0.8125	0.85417
1	68580000	68850000	1	68580000	68850000	255,255,0	1.3983	0.057116	0.083683	0.88462	0.78571
